ABRT_CNT,ARTC_BIN,ARTC_BIN_M,ARTC_CNT,ARTC_CNT_M,ARTC_EXM,ARTC_EXM_M,ARTC_MOD,ARTC_MOD_M,ARTC_RES,ARTC_RST,ARTC_RST_M,ARTC_RS_M,BIN_CNT,BIN_NUM,BIN_PF,CENTER_X,CENTER_Y,CMD_LINE,CPGM_TIM,CPU_TYPE,DIE_HT,DIE_WID,DSGN_REV,ENG_ID,ERROR,FINISH_T,FLOW_ID,FUNC_CNT,GOOD_CNT,HARD_BIN,HBR_NAM,HEAD_NUM,JOB_NAM,JOB_REV,LOT_ID,MODE,MOD_TIM,NODE_NAM,NOTE,NUM_TEST,PART_CNT,PART_FIX,PART_FLG,PART_ID,PART_TXT,PART_TYP,POS_X,POS_Y,PROG_SF,RETEST_CNT,ROM_COD,RSRV_30,RSRV_4,RTSTFL,RTST_CNT,SBLOT_ID,SCN_NAM,SERL_NUM,SETUP_ID,SITE_CNT,SITE_GRP,SITE_NUM,SOFT_BIN,SPEC_NAM,SPEC_VER,SPU_ID,START_T,STDF_VER,SUPR_NAM,TEST_COD,TEST_T,TIME_STAMP,TST_DEV,TST_TEMP,TYPE,USER_TXT,WAFER_ID,WAFR_SIZ,WF_FLAT,WF_UNITS,X_COORD,Y_COORD
,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,FAR,,,,,,,
,,,,,,,,,,,,,,,,,,"dataformatter tester config; Ver: SmarTest s/w rev. 7.1.4.3 (E), 15-Oct-12; dataformatter 2.0.9 Oct 15 2012 18:37:15",,,,,,,,,,,,,,,,,,,1476351224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATR,,,,,,,
,1869114465,1852399981,65535,29811,25455,28516,27669,27745,288,49,25455,27694,,,,,,,541990913,,,,,,,,,,,,,,93000,"s/w rev. 7.1.4.3 (E), 15-Oct-12
",cp_32,248,,,,,,,,,,,,,255,,,,87,84,,93000-SOC,,,,,,,,,,,,,,25.25,,1476351210,vincent,,MIR,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,[1],,,,,,,,,,,,,SDR,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Record type (1,60) implemented partially or not fully parsed. Raw Data Hex: 010001000358696e05313031303101310101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PMR,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Record type (1,60) implemented partially or not fully parsed. Raw Data Hex: 0200020004586f757405313031303201320101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PMR,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Record type (1,60) implemented partially or not fully parsed. Raw Data Hex: 0300000003564343023131000101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PMR,,,,,,,
,,,,,,,,,,,,,,,,-32768,-32768,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,WCR,,,0.0, ,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1476351224,,,,,,,,WIR,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,PTR record too short for required fixed fields: 2 bytes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTR,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Record type (1,60) implemented partially or not fully parsed. Raw Data Hex: 010001000358696e05313031303101310101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PMR,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Record type (1,60) implemented partially or not fully parsed. Raw Data Hex: 0200020004586f757405313031303201320101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PMR,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Record type (1,60) implemented partially or not fully parsed. Raw Data Hex: 0300000003564343023131000101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PMR,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,0,,,0,1,0.000,,,,,,,,,,,,,,,,,1,1,,,,,,,,515,,,,PRR,,,,,,-5,-4
,,,,,,,,,,,,,,,,,,,,,,,,,PTR record too short for required fixed fields: 2 bytes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTR,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,0,,,0,2,1.750,,,,,,,,,,,,,,,,,1,1,,,,,,,,1,,,,PRR,,,,,,-1,-4
,,,,,,,,,,,,,,,,,,,,,,,,,PTR record too short for required fixed fields: 2 bytes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTR,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,0,,,0,3,2.201,,,,,,,,,,,,,,,,,1,1,,,,,,,,1,,,,PRR,,,,,,4,-4
,,,,,,,,,,,,,,,,,,,,,,,,,PTR record too short for required fixed fields: 2 bytes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTR,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,0,,,0,4,2.803,,,,,,,,,,,,,,,,,1,1,,,,,,,,1,,,,PRR,,,,,,6,-4
,,,,,,,,,,,,,,,,,,,,,,,,,PTR record too short for required fixed fields: 2 bytes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTR,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,0,,,0,5,2.547,,,,,,,,,,,,,,,,,1,1,,,,,,,,1,,,,PRR,,,,,,7,-4
,,,,,,,,,,,,,,,,,,,,,,,,,PTR record too short for required fixed fields: 2 bytes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTR,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,0,,,0,6,2.702,,,,,,,,,,,,,,,,,1,1,,,,,,,,1,,,,PRR,,,,,,-7,-3
,,,,,,,,,,,,,,,,,,,,,,,,,PTR record too short for required fixed fields: 2 bytes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTR,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,0,,,0,7,2.700,,,,,,,,,,,,,,,,,1,1,,,,,,,,1,,,,PRR,,,,,,-3,-3
,,,,,,,,,,,,,,,,,,,,,,,,,PTR record too short for required fixed fields: 2 bytes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTR,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,0,,,0,8,2.101,,,,,,,,,,,,,,,,,1,1,,,,,,,,1,,,,PRR,,,,,,-2,-3
,,,,,,,,,,,,,,,,,,,,,,,,,PTR record too short for required fixed fields: 2 bytes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTR,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,0,,,0,9,2.600,,,,,,,,,,,,,,,,,1,1,,,,,,,,1,,,,PRR,,,,,,3,-3
,,,,,,,,,,,,,,,,,,,,,,,,,PTR record too short for required fixed fields: 2 bytes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTR,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,0,,,0,10,2.765,,,,,,,,,,,,,,,,,1,1,,,,,,,,1,,,,PRR,,,,,,4,-3
,,,,,,,,,,,,,,,,,,,,,,,,,PTR record too short for required fixed fields: 2 bytes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTR,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,0,,,0,11,2.704,,,,,,,,,,,,,,,,,1,1,,,,,,,,1,,,,PRR,,,,,,6,-3
,,,,,,,,,,,,,,,,,,,,,,,,,PTR record too short for required fixed fields: 2 bytes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTR,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,0,,,0,12,2.802,,,,,,,,,,,,,,,,,1,1,,,,,,,,1,,,,PRR,,,,,,-6,0
,,,,,,,,,,,,,,,,,,,,,,,,,PTR record too short for required fixed fields: 2 bytes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PTR,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,0,,,0,13,2.304,,,,,,,,,,,,,,,,,1,1,,,,,,,,1,,,,PRR,,,,,,-4,0
4294967295,,,,,,,,,,,,,,,,,,,,,,,,,,1476351281,,4294967295,13,,,1,,,,,,,,,13,,,,,,,,,,,,,,0,,,,,,2,,,,,,,,,,,,,,WRR,,,,,,,
,,,,,,,,,,,,,72351744,13,80,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,SS,,,,,1,,,,,,,,,,,,,HBR,,,,,,,
,,,,,,,,,,,,,72351744,13,80,,,,,,,,,,,,,,,,1,255,,,,,,,,,,,,,,,,,,,,,,,,,SS,,,,,0,,,,,,,,,,,,,HBR,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Record type (1,50) implemented partially or not fully parsed. Raw Data Hex: 010101000d000000500450415353",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SBR,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Record type (1,50) implemented partially or not fully parsed. Raw Data Hex: ff0001000d000000500450415353",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SBR,,,,,,,
4294967295,,,,,,,,,,,,,,,,,,,,,,,,,,,,4294967295,13,,,1,,,,,,,,,13,,,,,,,,,0,,,,,,,,,,,,1,,,,,,,,,,,,,PCR,,,,,,,
4294967295,,,,,,,,,,,,,,,,,,,,,,,,,,,,4294967295,13,,,255,,,,,,,,,13,,,,,,,,,0,,,,,,,,,,,,0,,,,,,,,,,,,,PCR,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,MRR record too short for RTST/ABRT/GOOD/FUNC_CNT fields: 7 bytes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MRR,,,,,,,
